"Index","Title description","Price","N_rooms","Surface","N_toilettes","Floor"
"1722","Monolocale via Capo dell'Argentiera, Ostia Levante, Roma","600.0","nan","48.0","nan","5"
"1723","Mansarda vicolo dei Panieri, Trastevere, Roma","850.0","nan","30.0","nan","5"
"1724","Palazzo - Edificio via Abruzzi 2, Vittorio Veneto, Roma","3500.0","5+","1.1","3+","5"
"1725","Mansarda via Luigi Lilio 65, Tintoretto, Roma","1800.0","3","140.0","2","5"
"1726","Villa bifamiliare viale di Castelporziano, Infernetto, Roma","2300.0","5+","270.0","3+","1"
"1727","Appartamento piazza Di Santa Rufina 22, Trastevere, Roma","2500.0","5","140.0","nan","1"
"1728","Villa unifamiliare viale delle Terme di Caracalla, San Saba - Caracalla, Roma","6500.0","5","285.0","3","1"
"1729","Villa unifamiliare via di Porta Latina, Colosseo - Fori Imperiali, Roma","6500.0","5","285.0","3","1"
"1730","Bilocale via del Pigneto,108, Pigneto, Roma","1300.0","2","69.0","nan","1"
"1731","Bilocale corso Vittorio Emanuele II,252, Campo de' Fiori, Roma","3100.0","2","50.0","nan","1"
"1732","Bilocale via Flavia,93, Sallustiano, Roma","3200.0","2","50.0","nan","1"
"1733","Trilocale via di San Giacomo,22, Piazza del Popolo, Roma","8000.0","3","50.0","2","1"
"1734","Bilocale via Bernardino Telesio,14, Piazzale degli Eroi, Roma","1600.0","2","50.0","nan","1"
"1735","Bilocale via Flavia,93, Sallustiano, Roma","3200.0","2","50.0","nan","1"
"1736","Bilocale via dei Genovesi,31, Trastevere, Roma","2900.0","2","60.0","nan","1"
"1737","Quadrilocale via Ettore Rolli,30, Trastevere, Roma","4500.0","4","50.0","2","1"
"1738","Bilocale Borgo Pio,64, Borgo, Roma","2850.0","2","50.0","nan","1"
"1739","Trilocale via della Farnesina,100, Vigna Clara - Vigna Stelluti, Roma","2500.0","3","90.0","2","1"
"1740","Bilocale via Sora,28, Piazza Navona, Roma","2250.0","2","50.0","nan","1"
"1741","Bilocale via del Giuba,22, Africano - Villa Chigi, Roma","1200.0","2","50.0","nan","1"
"1742","Trilocale via Flavia,93, Sallustiano, Roma","3300.0","3","50.0","2","1"
"1743","Trilocale viale Bruno Buozzi,19, Parioli, Roma","4900.0","3","50.0","2","1"
"1744","Quadrilocale via Pompeo Trogo,28, Balduina, Roma","1600.0","4","130.0","2","1"
"1745","Trilocale via Raffaele Balestra,44, Monteverde Nuovo, Roma","2800.0","3","50.0","nan","1"
"1746","Bilocale via Pietro de Francisci,13, Aurelio - Val Cannuta, Roma","1600.0","2","70.0","2","1"
"1747","Bilocale via Baldo degli Ubaldi,112, Gregorio VII - Piccolomini, Roma","1950.0","2","45.0","nan","1"
"1748","Appartamento via Germanico,99, Prati, Roma","3750.0","5","130.0","3+","1"
"1749","Bilocale via Flavia,93, Sallustiano, Roma","3200.0","2","50.0","nan","1"
"1750","Monolocale via dell'Orso,22, Piazza Navona, Roma","3500.0","nan","40.0","nan","1"
"1751","Bilocale via Genserico Fontana,5, Balduina, Roma","2600.0","2","100.0","2","2"
"1752","Trilocale via Albert Einstein,42, Marconi, Roma","1200.0","3","46.0","nan","2"
"1753","Bilocale via Gregoriana,20, Spagna, Roma","2300.0","2","50.0","nan","2"
