"Index","Title description","Price","N_rooms","Surface","N_toilettes","Floor"
"123","Quadrilocale viale Alfeo Corassori, San Faustino, Modena","600.0","4","70.0","nan","3"
"124","Appartamento Strada Vignolese 88, Sant'Agnese - Università, Modena","900.0","5","110.0","2","3"
"125","Trilocale corso Canalchiaro 1, Centro Storico, Modena","980.0","3","70.0","nan","3"
"126","Bilocale ottimo stato, quinto piano, Centro Storico, Modena","1000.0","2","47.0","nan","5"
"127","Bilocale via Vincenzo Monti, Madonnina - Tre Olmi, Modena","700.0","2","55.0","nan","5"
"128","Bilocale via Luigi Valdrighi, Sant'Agnese - Università, Modena","570.0","2","40.0","nan","5"
"129","Quadrilocale via Arquà, Morane - Contrada, Modena","900.0","4","105.0","nan","5"
"130","Monolocale via Emilia Ovest, Cittanova - Marzaglia, Modena","500.0","nan","30.0","nan","5"
"131","Quadrilocale viale Antonio Gramsci, Sacca - Stazione, Modena","700.0","4","96.0","nan","5"
"132","Trilocale via Oristano, Vaciglio, Modena","900.0","3","95.0","nan","5"
"133","Quadrilocale buono stato, terzo piano, Centro Storico, Modena","1800.0","4","140.0","2","5"
"134","Palazzo - Edificio 3 piani, ottimo stato, Villaggio Giardino, Modena","85.0","2","189.0","nan","5"
"135","Bilocale buono stato, terzo piano, Buon Pastore - Parco Amendola, Modena","640.0","2","50.0","nan","5"
"136","Monolocale Modena, Modena","450.0","nan","30.0","nan","5"
"137","Attico ottimo stato, 110 m², Centro Storico, Modena","2600.0","3","110.0","2","5"
"138","Bilocale via Luigi Carlo Farini, Centro Storico, Modena","440.0","2","50.0","nan","5"
"139","Monolocale via Giovanni Marradi, Madonnina - Tre Olmi, Modena","500.0","nan","27.0","nan","5"
"140","Appartamento buono stato, Centro Storico, Modena","500.0","nan","45.0","nan","5"
"141","Appartamento ottimo stato, quinto piano, Musicisti, Modena","1200.0","5","113.0","nan","5"
"142","Trilocale via Saragozza, Centro Storico, Modena","850.0","3","80.0","nan","5"
"143","Bilocale via Emilia Ovest, Cittanova - Marzaglia, Modena","550.0","2","55.0","nan","5"
"144","Quadrilocale via Mar Tirreno, Crocetta, Modena","700.0","4","70.0","nan","5"
"145","Quadrilocale buono stato, terzo piano, Musicisti, Modena","1200.0","4","90.0","nan","5"
"146","Quadrilocale buono stato, primo piano, Torrazzi, Modena","150.0","4","150.0","nan","5"
"147","Appartamento da ristrutturare, terzo piano, Crocetta, Modena","2500.0","5+","250.0","2","5"
"148","Quadrilocale buono stato, quarto piano, Centro Storico, Modena","1400.0","4","120.0","2","5"
"149","Bilocale via Gian Antonio Cavazzi, Buon Pastore - Parco Amendola, Modena","600.0","2","50.0","nan","5"
"150","Bilocale buono stato, primo piano, Madonnina - Tre Olmi, Modena","540.0","2","45.0","nan","5"
"151","Loft via Emilia Est 1741, Modena Est, Modena","600.0","nan","30.0","nan","1"
"152","Trilocale ottimo stato, primo piano, Centro Storico, Modena","900.0","3","90.0","nan","1"
"153","Bilocale ottimo stato, primo piano, Centro Storico, Modena","1000.0","2","60.0","nan","1"
"154","Trilocale buono stato, primo piano, Sant'Agnese - Università, Modena","850.0","3","65.0","nan","1"
"155","Mansarda buono stato, 80 m², Centro Storico, Modena","624.0","3","80.0","nan","1"
"156","Trilocale ottimo stato, terzo piano, Centro Storico, Modena","100.0","3","85.0","nan","1"
"157","Appartamento buono stato, secondo piano, Musicisti, Modena","750.0","5","85.0","nan","1"
"158","Trilocale buono stato, secondo piano, San Faustino, Modena","100.0","3","91.0","nan","1"
"159","Quadrilocale ottimo stato, secondo piano, Centro Storico, Modena","1400.0","4","95.0","2","1"
"160","Quadrilocale corso Canalchiaro, Centro Storico, Modena","2000.0","4","80.0","nan","1"
"161","Appartamento cesare costa, San Cataldo, Modena","1000.0","5","100.0","nan","1"
"162","Villa a schiera via Pietro Giardini 1325, Baggiovara, Modena","2000.0","5","289.0","3","1"
"163","Villa bifamiliare viale Giovanni Amendola, Buon Pastore - Parco Amendola, Modena","2500.0","5","220.0","3+","1"
"164","Bilocale buono stato, primo piano, Cognento, Modena","570.0","2","50.0","nan","1"
"165","Appartamento via Santissimi trinita', Centro Storico, Modena","2300.0","5+","190.0","2","1"
"166","Quadrilocale via Fregni, Sant'Agnese - Università, Modena","2000.0","4","120.0","nan","1"
"167","Monolocale ottimo stato, primo piano, Sant'Agnese - Università, Modena","255.0","nan","50.0","nan","1"
"168","Trilocale ottimo stato, primo piano, Sant'Agnese - Università, Modena","750.0","3","100.0","nan","1"
"169","Quadrilocale buono stato, piano terra, Sant'Agnese - Università, Modena","600.0","4","85.0","nan","1"
"170","Monolocale ottimo stato, piano rialzato, Morane - Contrada, Modena","550.0","nan","38.0","nan","1"
"171","Bilocale ottimo stato, primo piano, San Faustino, Modena","550.0","2","45.0","nan","1"
"172","Bilocale ottimo stato, primo piano, Buon Pastore - Parco Amendola, Modena","580.0","2","50.0","nan","1"
"173","Appartamento ottimo stato, primo piano, Crocetta, Modena","700.0","5+","95.0","nan","1"
"174","Bilocale ottimo stato, primo piano, San Faustino, Modena","560.0","2","50.0","nan","1"
"175","Bilocale ottimo stato, primo piano, Albareto - Mulini Nuovi, Modena","600.0","2","55.0","nan","1"
"176","Appartamento buono stato, primo piano, Sant'Agnese - Università, Modena","2000.0","5+","217.0","3","1"
"177","Trilocale ottimo stato, San Lazzaro, Modena","1100.0","3","100.0","2","1"
"178","Trilocale ottimo stato, quarto piano, Baggiovara, Modena","950.0","3","78.0","nan","1"
"179","Trilocale ottimo stato, quarto piano, Centro Storico, Modena","900.0","3","65.0","nan","1"
"180","Trilocale ottimo stato, terzo piano, Albareto - Mulini Nuovi, Modena","750.0","3","75.0","nan","1"
"181","Trilocale ottimo stato, secondo piano, Albareto - Mulini Nuovi, Modena","800.0","3","72.0","nan","1"
"182","Trilocale ottimo stato, terzo piano, Baggiovara, Modena","900.0","3","70.0","nan","1"
"183","Bilocale via San Geminiano 26, Centro Storico, Modena","700.0","2","55.0","nan","1"
"184","Bilocale ottimo stato, secondo piano, Centro Storico, Modena","750.0","2","55.0","nan","1"
"185","Quadrilocale corso Canalchiaro, Centro Storico, Modena","2000.0","4","120.0","nan","1"
"186","Trilocale ottimo stato, Centro Storico, Modena","1000.0","3","102.0","2","1"
"187","Quadrilocale buono stato, terzo piano, Viali, Modena","1100.0","4","200.0","2","1"
"188","Villa bifamiliare, buono stato, 339 m², Sant'Agnese - Università, Modena","1800.0","5+","339.0","3+","1"
"189","Monolocale ottimo stato, primo piano, San Faustino, Modena","560.0","nan","40.0","nan","1"
"190","Trilocale ottimo stato, terzo piano, Centro Storico, Modena","100.0","3","45.0","nan","1"
"191","Monolocale ottimo stato, primo piano, San Lazzaro, Modena","600.0","nan","40.0","nan","1"
"192","Monolocale buono stato, Modena Est, Modena","650.0","nan","20.0","nan","1"
"193","Quadrilocale ottimo stato, secondo piano, Viali, Modena","2500.0","4","140.0","2","1"
"194","Trilocale vicolo Venezia, Centro Storico, Modena","1100.0","3","80.0","nan","1"
"195","Trilocale ottimo stato, terzo piano, Centro Storico, Modena","1200.0","3","80.0","nan","1"
"196","Quadrilocale via Taglio, Centro Storico, Modena","2200.0","4","110.0","2","1"
"197","Palazzo - Edificio 3 piani, buono stato, Torrazzi, Modena","nan","5+","6.0","3+","1"
"198","Appartamento viale dell'Autodromo 190, Villaggio Giardino, Modena","1200.0","5+","100.0","2","1"
"199","Attico Strada Fossa Monda Nord 176, Torrazzi, Modena","2000.0","5","120.0","2","1"
"200","Trilocale via Nazario Sauro 15, Centro Storico, Modena","980.0","3","70.0","nan","1"
"201","Mansarda via Sgarzeria 16, Centro Storico, Modena","850.0","2","65.0","nan","4"
"202","Attico via Taglio 10, Centro Storico, Modena","1500.0","4","140.0","2","4"
"203","Bilocale via del Pozzo 220, Sant'Agnese - Università, Modena","600.0","2","25.0","nan","4"
"204","Bilocale via Due Canali Sud 50, Crocetta, Modena","850.0","2","70.0","nan","4"
"205","Monolocale via Giuseppe Campi 132, Sant'Agnese - Università, Modena","450.0","nan","16.0","nan","4"
"206","Bilocale via Emilia centro 283, Centro Storico, Modena","800.0","2","60.0","nan","4"
